     100           0       
     200           0      
     300           0      
     400           0      
     500           0      
     600           0      
     700           0      
     800           0      
     900           0      
    1000        0.01      
    2000           0      
    3000        0.01      
    4000        0.01      
    5000        0.01      
    6000        0.01      
    7000        0.01      
    8000        0.02      
    9000        0.02      
   10000        0.02      
   20000        0.04      
   30000        0.06      
   40000        0.09    
   50000        0.11     
   60000        0.13     
   70000        0.16     
   80000        0.18     
   90000        0.21     
  100000        0.22     
