     100           0       
     200           0      
     300           0      
     400           0      
     500           0     
     600           0      
     700           0      
     800           0      
     900           0      
    1000           0      
    2000           0      
    3000           0      
    4000           0      
    5000           0      
    6000           0     
    7000           0      
    8000        0.01      
    9000           0      
   10000           0      
   20000        0.01      
   30000           0      
   40000        0.01     
   50000           0     
   60000           0     
   70000        0.01     
   80000        0.01     
   90000        0.01     
  100000           0     
