     100           0       
     200           0      
     300           0     
     400        0.01    
     500        0.01   
     600        0.01   
     700        0.02      
     800        0.02     
     900        0.03    
    1000        0.04   
    2000        0.12  
    3000        0.29 
    4000        0.54
    5000        0.85      
    6000        1.23      
    7000        1.68      
    8000        2.21      
    9000        3.04      
   10000        3.77      
   20000       15.03      
   30000       33.42      
