Girl's x position: Girl's y position: Girl's speed: Bear's x position: Bear's y position: Bear's speed: Telephone booth's x position: Telephone booth's y position: 	X_G	Y_G	X_B	Y_B
	1.3831	0.13831	8.61006	0.0113122
	1.39305	0.139305	8.60007	0.0114895
	1.403	0.1403	8.59007	0.0116684
	1.41295	0.141295	8.58007	0.011849
	1.4229	0.14229	8.57007	0.0120312
	1.43285	0.143285	8.56007	0.0122151
	1.4428	0.14428	8.55007	0.0124006
	1.45275	0.145275	8.54008	0.0125878
	1.4627	0.14627	8.53008	0.0127767
	1.47266	0.147266	8.52008	0.0129672
	1.48261	0.148261	8.51008	0.0131594
	1.49256	0.149256	8.50008	0.0133533
	1.50251	0.150251	8.49008	0.0135489
	1.51246	0.151246	8.48009	0.0137462
	1.52241	0.152241	8.47009	0.0139452
	1.53236	0.153236	8.46009	0.0141459
	1.54231	0.154231	8.45009	0.0143484
	1.55226	0.155226	8.44009	0.0145526
	1.56221	0.156221	8.4301	0.0147585
	1.57216	0.157216	8.4201	0.0149662
	1.58211	0.158211	8.4101	0.0151757
	1.59206	0.159206	8.4001	0.0153869
	1.60201	0.160201	8.39011	0.0155998
	1.61196	0.161196	8.38011	0.0158146
	1.62191	0.162191	8.37011	0.0160311
	1.63186	0.163186	8.36011	0.0162495
	1.64181	0.164181	8.35012	0.0164696
	1.65176	0.165176	8.34012	0.0166915
	1.66171	0.166171	8.33012	0.0169153
	1.67166	0.167166	8.32012	0.0171409
	1.68161	0.168161	8.31013	0.0173683
	1.69156	0.169156	8.30013	0.0175976
	1.70151	0.170151	8.29013	0.0178287
	1.71146	0.171146	8.28013	0.0180617
	1.72141	0.172141	8.27014	0.0182966
	1.73136	0.173136	8.26014	0.0185333
	1.74132	0.174132	8.25014	0.018772
	1.75127	0.175127	8.24014	0.0190125
	1.76122	0.176122	8.23015	0.0192549
	1.77117	0.177117	8.22015	0.0194992
	1.78112	0.178112	8.21015	0.0197455
	1.79107	0.179107	8.20016	0.0199937
	1.80102	0.180102	8.19016	0.0202438
	1.81097	0.181097	8.18016	0.0204959
	1.82092	0.182092	8.17017	0.0207499
	1.83087	0.183087	8.16017	0.0210059
	1.84082	0.184082	8.15017	0.0212639
	1.85077	0.185077	8.14018	0.0215238
	1.86072	0.186072	8.13018	0.0217858
	1.87067	0.187067	8.12018	0.0220497
	1.88062	0.188062	8.11019	0.0223157
	1.89057	0.189057	8.10019	0.0225837
	1.90052	0.190052	8.09019	0.0228537
	1.91047	0.191047	8.0802	0.0231258
	1.92042	0.192042	8.0702	0.0233999
	1.93037	0.193037	8.06021	0.0236761
	1.94032	0.194032	8.05021	0.0239543
	1.95027	0.195027	8.04021	0.0242347
	1.96022	0.196022	8.03022	0.0245171
	1.97017	0.197017	8.02022	0.0248017
	1.98012	0.198012	8.01023	0.0250883
	1.99007	0.199007	8.00023	0.0253771
	2.00002	0.200002	7.99023	0.025668
	2.00998	0.200998	7.98024	0.025961
	2.01993	0.201993	7.97024	0.0262563
	2.02988	0.202988	7.96025	0.0265536
	2.03983	0.203983	7.95025	0.0268532
	2.04978	0.204978	7.94026	0.0271549
	2.05973	0.205973	7.93026	0.0274589
	2.06968	0.206968	7.92026	0.027765
	2.07963	0.207963	7.91027	0.0280734
	2.08958	0.208958	7.90027	0.028384
	2.09953	0.209953	7.89028	0.0286969
	2.10948	0.210948	7.88028	0.029012
	2.11943	0.211943	7.87029	0.0293294
	2.12938	0.212938	7.86029	0.029649
	2.13933	0.213933	7.8503	0.029971
	2.14928	0.214928	7.8403	0.0302952
	2.15923	0.215923	7.83031	0.0306218
	2.16918	0.216918	7.82032	0.0309507
	2.17913	0.217913	7.81032	0.031282
	2.18908	0.218908	7.80033	0.0316156
	2.19903	0.219903	7.79033	0.0319515
	2.20898	0.220898	7.78034	0.0322899
	2.21893	0.221893	7.77034	0.0326306
	2.22888	0.222888	7.76035	0.0329737
	2.23883	0.223883	7.75036	0.0333193
	2.24878	0.224878	7.74036	0.0336672
	2.25873	0.225873	7.73037	0.0340177
	2.26868	0.226868	7.72037	0.0343705
	2.27864	0.227864	7.71038	0.0347259
	2.28859	0.228859	7.70039	0.0350837
	2.29854	0.229854	7.69039	0.0354441
	2.30849	0.230849	7.6804	0.0358069
	2.31844	0.231844	7.67041	0.0361723
	2.32839	0.232839	7.66041	0.0365402
	2.33834	0.233834	7.65042	0.0369106
	2.34829	0.234829	7.64043	0.0372836
	2.35824	0.235824	7.63043	0.0376592
	2.36819	0.236819	7.62044	0.0380374
	2.37814	0.237814	7.61045	0.0384182
	2.38809	0.238809	7.60046	0.0388017
	2.39804	0.239804	7.59046	0.0391877
	2.40799	0.240799	7.58047	0.0395765
	2.41794	0.241794	7.57048	0.0399679
	2.42789	0.242789	7.56049	0.040362
	2.43784	0.243784	7.55049	0.0407588
	2.44779	0.244779	7.5405	0.0411583
	2.45774	0.245774	7.53051	0.0415605
	2.46769	0.246769	7.52052	0.0419655
	2.47764	0.247764	7.51053	0.0423733
	2.48759	0.248759	7.50054	0.0427838
	2.49754	0.249754	7.49054	0.0431971
	2.50749	0.250749	7.48055	0.0436133
	2.51744	0.251744	7.47056	0.0440323
	2.52739	0.252739	7.46057	0.0444541
	2.53734	0.253734	7.45058	0.0448788
	2.5473	0.25473	7.44059	0.0453064
	2.55725	0.255725	7.4306	0.0457369
	2.5672	0.25672	7.42061	0.0461703
	2.57715	0.257715	7.41062	0.0466067
	2.5871	0.25871	7.40063	0.047046
	2.59705	0.259705	7.39064	0.0474882
	2.607	0.2607	7.38065	0.0479335
	2.61695	0.261695	7.37066	0.0483818
	2.6269	0.26269	7.36067	0.0488331
	2.63685	0.263685	7.35068	0.0492875
	2.6468	0.26468	7.34069	0.0497449
	2.65675	0.265675	7.3307	0.0502054
	2.6667	0.26667	7.32071	0.050669
	2.67665	0.267665	7.31072	0.0511358
	2.6866	0.26866	7.30073	0.0516056
	2.69655	0.269655	7.29074	0.0520787
	2.7065	0.27065	7.28075	0.052555
	2.71645	0.271645	7.27076	0.0530344
	2.7264	0.27264	7.26078	0.0535171
	2.73635	0.273635	7.25079	0.054003
	2.7463	0.27463	7.2408	0.0544922
	2.75625	0.275625	7.23081	0.0549847
	2.7662	0.27662	7.22082	0.0554806
	2.77615	0.277615	7.21084	0.0559797
	2.7861	0.27861	7.20085	0.0564822
	2.79605	0.279605	7.19086	0.0569881
	2.806	0.2806	7.18088	0.0574974
	2.81596	0.281596	7.17089	0.0580102
	2.82591	0.282591	7.1609	0.0585263
	2.83586	0.283586	7.15092	0.059046
	2.84581	0.284581	7.14093	0.0595692
	2.85576	0.285576	7.13094	0.0600958
	2.86571	0.286571	7.12096	0.0606261
	2.87566	0.287566	7.11097	0.0611599
	2.88561	0.288561	7.10099	0.0616973
	2.89556	0.289556	7.091	0.0622383
	2.90551	0.290551	7.08102	0.062783
	2.91546	0.291546	7.07103	0.0633313
	2.92541	0.292541	7.06105	0.0638834
	2.93536	0.293536	7.05106	0.0644392
	2.94531	0.294531	7.04108	0.0649987
	2.95526	0.295526	7.03109	0.065562
	2.96521	0.296521	7.02111	0.0661292
	2.97516	0.297516	7.01112	0.0667001
	2.98511	0.298511	7.00114	0.067275
	2.99506	0.299506	6.99116	0.0678537
	3.00501	0.300501	6.98118	0.0684363
	3.01496	0.301496	6.97119	0.0690229
	3.02491	0.302491	6.96121	0.0696135
	3.03486	0.303486	6.95123	0.0702081
	3.04481	0.304481	6.94125	0.0708067
	3.05476	0.305476	6.93126	0.0714095
	3.06471	0.306471	6.92128	0.0720163
	3.07466	0.307466	6.9113	0.0726272
	3.08462	0.308462	6.90132	0.0732424
	3.09457	0.309457	6.89134	0.0738617
	3.10452	0.310452	6.88136	0.0744852
	3.11447	0.311447	6.87138	0.0751131
	3.12442	0.312442	6.8614	0.0757452
	3.13437	0.313437	6.85142	0.0763816
	3.14432	0.314432	6.84144	0.0770225
	3.15427	0.315427	6.83146	0.0776677
	3.16422	0.316422	6.82148	0.0783174
	3.17417	0.317417	6.8115	0.0789715
	3.18412	0.318412	6.80152	0.0796302
	3.19407	0.319407	6.79155	0.0802934
	3.20402	0.320402	6.78157	0.0809612
	3.21397	0.321397	6.77159	0.0816336
	3.22392	0.322392	6.76161	0.0823107
	3.23387	0.323387	6.75164	0.0829924
	3.24382	0.324382	6.74166	0.083679
	3.25377	0.325377	6.73168	0.0843703
	3.26372	0.326372	6.72171	0.0850664
	3.27367	0.327367	6.71173	0.0857674
	3.28362	0.328362	6.70176	0.0864733
	3.29357	0.329357	6.69178	0.0871841
	3.30352	0.330352	6.68181	0.0879
	3.31347	0.331347	6.67184	0.0886209
	3.32342	0.332342	6.66186	0.0893468
	3.33337	0.333337	6.65189	0.0900779
	3.34332	0.334332	6.64192	0.0908141
	3.35328	0.335328	6.63194	0.0915556
	3.36323	0.336323	6.62197	0.0923023
	3.37318	0.337318	6.612	0.0930544
	3.38313	0.338313	6.60203	0.0938117
	3.39308	0.339308	6.59206	0.0945746
	3.40303	0.340303	6.58209	0.0953428
	3.41298	0.341298	6.57212	0.0961166
	3.42293	0.342293	6.56215	0.0968959
	3.43288	0.343288	6.55218	0.0976809
	3.44283	0.344283	6.54221	0.0984715
	3.45278	0.345278	6.53224	0.0992678
	3.46273	0.346273	6.52227	0.10007
	3.47268	0.347268	6.51231	0.100878
	3.48263	0.348263	6.50234	0.101692
	3.49258	0.349258	6.49237	0.102511
	3.50253	0.350253	6.48241	0.103337
	3.51248	0.351248	6.47244	0.104169
	3.52243	0.352243	6.46248	0.105007
	3.53238	0.353238	6.45251	0.105851
	3.54233	0.354233	6.44255	0.106702
	3.55228	0.355228	6.43259	0.107558
	3.56223	0.356223	6.42262	0.108421
	3.57218	0.357218	6.41266	0.109291
	3.58213	0.358213	6.4027	0.110167
	3.59208	0.359208	6.39274	0.11105
	3.60203	0.360203	6.38278	0.111939
	3.61199	0.361199	6.37282	0.112835
	3.62194	0.362194	6.36286	0.113738
	3.63189	0.363189	6.3529	0.114647
	3.64184	0.364184	6.34294	0.115564
	3.65179	0.365179	6.33299	0.116487
	3.66174	0.366174	6.32303	0.117418
	3.67169	0.367169	6.31307	0.118356
	3.68164	0.368164	6.30312	0.119301
	3.69159	0.369159	6.29316	0.120253
	3.70154	0.370154	6.28321	0.121213
	3.71149	0.371149	6.27326	0.12218
	3.72144	0.372144	6.2633	0.123155
	3.73139	0.373139	6.25335	0.124138
	3.74134	0.374134	6.2434	0.125128
	3.75129	0.375129	6.23345	0.126126
	3.76124	0.376124	6.2235	0.127132
	3.77119	0.377119	6.21355	0.128147
	3.78114	0.378114	6.20361	0.129169
	3.79109	0.379109	6.19366	0.130199
	3.80104	0.380104	6.18371	0.131238
	3.81099	0.381099	6.17377	0.132285
	3.82094	0.382094	6.16382	0.133341
	3.83089	0.383089	6.15388	0.134406
	3.84084	0.384084	6.14394	0.135479
	3.85079	0.385079	6.134	0.136561
	3.86074	0.386074	6.12406	0.137652
	3.87069	0.387069	6.11412	0.138752
	3.88065	0.388065	6.10418	0.139862
	3.8906	0.38906	6.09424	0.14098
	3.90055	0.390055	6.08431	0.142108
	3.9105	0.39105	6.07437	0.143246
	3.92045	0.392045	6.06444	0.144394
	3.9304	0.39304	6.0545	0.145551
	3.94035	0.394035	6.04457	0.146718
	3.9503	0.39503	6.03464	0.147896
	3.96025	0.396025	6.02471	0.149083
	3.9702	0.39702	6.01478	0.150281
	3.98015	0.398015	6.00486	0.15149
	3.9901	0.39901	5.99493	0.152709
	4.00005	0.400005	5.98501	0.15394
	4.01	0.401	5.97509	0.155181
	4.01995	0.401995	5.96516	0.156433
	4.0299	0.40299	5.95524	0.157697
	4.03985	0.403985	5.94533	0.158973
	4.0498	0.40498	5.93541	0.16026
	4.05975	0.405975	5.92549	0.161559
	4.0697	0.40697	5.91558	0.16287
	4.07965	0.407965	5.90567	0.164193
	4.0896	0.40896	5.89576	0.165529
	4.09955	0.409955	5.88585	0.166877
	4.1095	0.41095	5.87594	0.168238
	4.11945	0.411945	5.86604	0.169612
	4.1294	0.41294	5.85613	0.171
	4.13935	0.413935	5.84623	0.172401
	4.14931	0.414931	5.83633	0.173816
	4.15926	0.415926	5.82644	0.175245
	4.16921	0.416921	5.81654	0.176688
	4.17916	0.417916	5.80665	0.178145
	4.18911	0.418911	5.79676	0.179618
	4.19906	0.419906	5.78687	0.181105
	4.20901	0.420901	5.77698	0.182607
	4.21896	0.421896	5.7671	0.184125
	4.22891	0.422891	5.75722	0.185659
	4.23886	0.423886	5.74734	0.187209
	4.24881	0.424881	5.73746	0.188776
	4.25876	0.425876	5.72759	0.190359
	4.26871	0.426871	5.71771	0.191959
	4.27866	0.427866	5.70785	0.193577
	4.28861	0.428861	5.69798	0.195212
